"dgp","trueATE","binary","n_covariates","n_observation","treated_share","sd_y"
29,4,0,26,5735,0.305841325196164,19.9564769850896
30,10,0,26,5735,0.69642545771578,24.5898008170005
31,2,0,26,5735,0.596512641673932,18.1414398948106
32,2.52739040759141,0,26,5735,0.465562336530078,12.7171950631035
37,4,0,22,500,0.178,5.27657170666302
38,2.5,0,22,500,0.124,1.43135321878201
39,6.27029602260378,0,22,500,0.314,13.9299658489097
40,6.96198490740555,0,22,500,0.762,5.52393341058607
57,0.5,0,31,649,0.335901386748844,1.2410211731268
58,1,0,31,649,0.719568567026194,1.38843459274547
59,-0.8,0,31,649,0.522342064714946,1.21960116972017
60,1.6862483115362,0,31,649,0.724191063174114,1.20335430580211
61,2,0,29,649,0.644067796610169,3.14493574825809
62,2,0,29,649,0.705701078582434,2.56939762184912
63,-2,0,29,649,0.505392912172573,2.75406925820195
64,3.625,0,29,649,0.571648690292758,3.23850610971911
